card_id,descricao,data_entrega,data_processamento
10083,"História de Usuário – Comentar em Produto

Título: Permitir que usuário autenticado comente em um produto

Tipo: Story
Prioridade: Média
Epic: Interação do usuário com produtos

História

Como usuário autenticado da plataforma
Quero acessar a página de um produto e adicionar um comentário
Para compartilhar minha opinião ou experiência sobre o produto com outros usuários.

Jornada Funcional do Usuário

1. Acesso à plataforma

- Usuário acessa a página inicial do sistema.


- Usuário clica no botão ""Login"" no topo da página.",,2026-03-16 21:27:32.386680
10076,"História de Usuário – Comentar em Produto

Título: Permitir que usuário autenticado comente em um produto

Tipo: Story
Prioridade: Média
Epic: Interação do usuário com produtos

História

Como usuário autenticado da plataforma
Quero acessar a página de um produto e adicionar um comentário
Para compartilhar minha opinião ou experiência sobre o produto com outros usuários.

Jornada Funcional do Usuário

1. Acesso à plataforma

- Usuário acessa a página inicial do sistema.


- Usuário clica no botão ""Login"" no topo da página.",2026-03-26,2026-03-16 21:27:34.035974
10073,,,2026-03-16 21:27:34.952814
10071,"História de Usuário – Comentar em Produto

Título: Permitir que usuário autenticado comente em um produto

Tipo: Story
Prioridade: Média
Epic: Interação do usuário com produtos

História

Como usuário autenticado da plataforma
Quero acessar a página de um produto e adicionar um comentário
Para compartilhar minha opinião ou experiência sobre o produto com outros usuários.

Jornada Funcional do Usuário

1. Acesso à plataforma

- Usuário acessa a página inicial do sistema.


- Usuário clica no botão ""Login"" no topo da página.



2. Autenticação

- Sistema apresenta formulário de login:

- Campo Email


- Campo Senha


- Botão Entrar




- Usuário preenche:

- Email válido


- Senha válida




- Usuário clica no botão Entrar.


- Sistema valida credenciais:

- Se válidas → redireciona para Home logada


- Se inválidas → exibe mensagem de erro.





3. Navegação até o produto

- Usuário utiliza a barra de busca ou navega pelo catálogo de produtos.


- Usuário clica em um produto da lista.


- Sistema abre a página de detalhes do produto.



4. Interação de comentário

- Usuário rola a página até a seção Comentários.


- Usuário clica no campo ""Escreva seu comentário..."".


- Usuário digita o comentário.


- Usuário clica no botão ""Publicar comentário"".



5. Resultado esperado

- Sistema valida o conteúdo do comentário.


- Sistema salva o comentário associado:



- ao usuário


- ao produto



- Sistema exibe o comentário na lista de comentários do produto",,2026-03-16 21:27:36.033521
10038,,,2026-03-16 21:27:37.049160
10001,,2026-03-12,2026-03-16 21:27:38.027478
10000,Teste de descrição task 1,2026-03-07,2026-03-16 21:28:23.138942
10076,"História de Usuário – Comentar em Produto

Título: Permitir que usuário autenticado comente em um produto

Tipo: Story
Prioridade: Média
Epic: Interação do usuário com produtos

História

Como usuário autenticado da plataforma
Quero acessar a página de um produto e adicionar um comentário
Para compartilhar minha opinião ou experiência sobre o produto com outros usuários.

Jornada Funcional do Usuário

1. Acesso à plataforma

- Usuário acessa a página inicial do sistema.


- Usuário clica no botão ""Login"" no topo da página.",2026-03-26,2026-03-17 20:38:52.733435
10073,,,2026-03-17 20:38:53.748091
10071,"História de Usuário – Comentar em Produto

Título: Permitir que usuário autenticado comente em um produto

Tipo: Story
Prioridade: Média
Epic: Interação do usuário com produtos

História

Como usuário autenticado da plataforma
Quero acessar a página de um produto e adicionar um comentário
Para compartilhar minha opinião ou experiência sobre o produto com outros usuários.

Jornada Funcional do Usuário

1. Acesso à plataforma

- Usuário acessa a página inicial do sistema.


- Usuário clica no botão ""Login"" no topo da página.



2. Autenticação

- Sistema apresenta formulário de login:

- Campo Email


- Campo Senha


- Botão Entrar




- Usuário preenche:

- Email válido


- Senha válida




- Usuário clica no botão Entrar.


- Sistema valida credenciais:

- Se válidas → redireciona para Home logada


- Se inválidas → exibe mensagem de erro.





3. Navegação até o produto

- Usuário utiliza a barra de busca ou navega pelo catálogo de produtos.


- Usuário clica em um produto da lista.


- Sistema abre a página de detalhes do produto.



4. Interação de comentário

- Usuário rola a página até a seção Comentários.


- Usuário clica no campo ""Escreva seu comentário..."".


- Usuário digita o comentário.


- Usuário clica no botão ""Publicar comentário"".



5. Resultado esperado

- Sistema valida o conteúdo do comentário.


- Sistema salva o comentário associado:



- ao usuário


- ao produto



- Sistema exibe o comentário na lista de comentários do produto",,2026-03-17 20:38:54.426270
10038,,,2026-03-17 20:38:55.404672
10001,,2026-03-12,2026-03-17 20:38:56.542487
10076,"História de Usuário – Comentar em Produto

Título: Permitir que usuário autenticado comente em um produto

Tipo: Story
Prioridade: Média
Epic: Interação do usuário com produtos

História

Como usuário autenticado da plataforma
Quero acessar a página de um produto e adicionar um comentário
Para compartilhar minha opinião ou experiência sobre o produto com outros usuários.

Jornada Funcional do Usuário

1. Acesso à plataforma

- Usuário acessa a página inicial do sistema.


- Usuário clica no botão ""Login"" no topo da página.",2026-03-26,2026-03-17 21:07:18.739177
10073,,,2026-03-17 21:07:19.966506
10071,"História de Usuário – Comentar em Produto

Título: Permitir que usuário autenticado comente em um produto

Tipo: Story
Prioridade: Média
Epic: Interação do usuário com produtos

História

Como usuário autenticado da plataforma
Quero acessar a página de um produto e adicionar um comentário
Para compartilhar minha opinião ou experiência sobre o produto com outros usuários.

Jornada Funcional do Usuário

1. Acesso à plataforma

- Usuário acessa a página inicial do sistema.


- Usuário clica no botão ""Login"" no topo da página.



2. Autenticação

- Sistema apresenta formulário de login:

- Campo Email


- Campo Senha


- Botão Entrar




- Usuário preenche:

- Email válido


- Senha válida




- Usuário clica no botão Entrar.


- Sistema valida credenciais:

- Se válidas → redireciona para Home logada


- Se inválidas → exibe mensagem de erro.





3. Navegação até o produto

- Usuário utiliza a barra de busca ou navega pelo catálogo de produtos.


- Usuário clica em um produto da lista.


- Sistema abre a página de detalhes do produto.



4. Interação de comentário

- Usuário rola a página até a seção Comentários.


- Usuário clica no campo ""Escreva seu comentário..."".


- Usuário digita o comentário.


- Usuário clica no botão ""Publicar comentário"".



5. Resultado esperado

- Sistema valida o conteúdo do comentário.


- Sistema salva o comentário associado:



- ao usuário


- ao produto



- Sistema exibe o comentário na lista de comentários do produto",,2026-03-17 21:07:20.969551
10038,,,2026-03-17 21:07:22.320717
10001,,2026-03-12,2026-03-17 21:07:23.709525
10000,Teste de descrição task 1,2026-03-07,2026-03-17 21:10:38.593497
10083,"História de Usuário – Comentar em Produto

Título: Permitir que usuário autenticado comente em um produto

Tipo: Story
Prioridade: Média
Epic: Interação do usuário com produtos

História

Como usuário autenticado da plataforma
Quero acessar a página de um produto e adicionar um comentário
Para compartilhar minha opinião ou experiência sobre o produto com outros usuários.

Jornada Funcional do Usuário

1. Acesso à plataforma

- Usuário acessa a página inicial do sistema.


- Usuário clica no botão ""Login"" no topo da página.",,2026-03-17 21:11:33.299269
